codigo,produto,consumo_2023,consumo_2024
120403,"LUVA GALVANIZADA RED. 1 1/4"" X 1""",0.0,2.0
120406,"JOELHO GALVANIZADO 90° 1""",0.0,37.0
120407,"TE GALVANIZADO 1""",0.0,11.0
120411,BUCHA SOLD. REDUÇÃO CURTA 75 X 60 MM,10.0,3.0
120415,SUPORTE PARA RALO REDONDO 100 MM,0.0,2.0
120416,JUNÇÃO ESGOTO PVC 100 MM,0.0,3.0
120461,"LUVA BUCHA LATÃO 25 X 1/2""",6.0,2.0
120462,BUCHA SOLD. REDUÇÃO CURTA 50 X 40 MM,11.0,5.0
120463,BUCHA SOLD. REDUÇÃO LONGA 60 X 50 MM,2.0,0.0
120465,"CONECTOR AQ. 54MM X 2""",1.0,0.0
120466,BUCHA AQ. 54MM X 42MM,1.0,0.0
120467,TE AQ. 54MM,1.0,0.0
120468,JOELHO AQ. 90° 54MM,4.0,0.0
120475,CAIXA DE GORDURA,1.0,0.0
120487,"ADAPTADOR SOLD. 75 X 2 1/2"" MM",0.0,1.0
120492,"JOELHO ESGOTO 90° 40 X 11/2"" C/ANEL",0.0,3.0
120495,"PORCA PLÁSTICA ANILHADA P/MANGUEIRA 1/4"" IBBL",0.0,1.0
120500,JOELHO SOLD. 45° 110 MM,0.0,1.0
121006,PRANCHETA DE MADEIRA,1.0,20.0
121032,CABO USB PARA IMPRESSORA,1.0,0.0
121040,CABO DE ENERGIA PS2,2.0,0.0
121043,FITA CREPE 48MM X 50 M,6.0,0.0
121045,CABO HDMI,1.0,4.0
121048,QUADRO MULTIUSO COR CRISTAL,1.0,2.0
121057,CABO FONTE PARA COMPUTADOR,0.0,1.0
121058,FITA CREPE 18MM X 50 M,21.0,4.0
121067,MOUSE P/ COMPUTADOR,1.0,3.0
121068,TECLADO P/ COMPUTADOR,0.0,1.0
121071,"CABO UTP GIGALAN CAT.6 2,5M CINZA",5.0,0.0
121075,CONECTOR MACHO RJ 45,17.0,12.0
121077,PILHA P/ CONTROLE REMOTO 12V A23,1.0,7.0
121079,BATERIA 9V,1.0,0.0
121080,PILHA AA,0.0,6.0
130004,RETENTOR DA TAMPA DA VÁLV. DESCARGA,3.0,2.0
130007,TAMPA VÁLVULA DESCARGA 1 1/4 DUO,72.0,47.0
130022,"REPARO DA VÁLVULA DESCARGA 2545 1 1/4""",24.0,0.0
130025,"VÁLVULA PIA AMERICANA 3.1/2""",1.0,0.0
130028,"VÁLVULA DE RETENÇÃO HORIZ. DN 25 / 1""",0.0,1.0
130032,KIT VÁLVULA SOLENÓIDE P/TORNEIRA DOCOL 12 V,28.0,0.0
130033,VÁLVULA SOLENÓIDE P/MICTÓRIO DECA P/ 1180/2580,2.0,11.0
130035,"VÁLVULA ESCOAMENTO P/LAVATÓRIO DN 25 1"" DECA",33.0,22.0
130037,"REPARO DA VÁLVULA DESCARGA 2550 1 1/4""",62.0,67.0
130047,"REPARO DA VÁLVULA DESCARGA 2545 1 1/4""",0.0,2.0
140001,"REGISTRO ESFERA SOLD. 60 X 2""",0.0,2.0
140003,"REGISTRO GAVETA DN 20 3/4""",0.0,2.0
140006,REGISTO GAVETA DN 40 1 1/2,1.0,0.0
140008,REGISTRO ESFERA DN 15 X 1/2,3.0,0.0
140009,REGISTRO ESFERA DN 20 X 3/4,2.0,0.0
140011,REGISTRO ESFERA DN 32 X 1 1/4,0.0,2.0
140014,REGISTRO ESFERA DN 40 X 1 1/2,2.0,0.0
140028,REGISTRO REGULADOR DE VASÃO 1/2,15.0,6.0
140030,ACABAMENTO P/REGISTRO 1/2 E 3/4,2.0,0.0
140031,"REGISTRO ESFERA DN 25 1""",0.0,2.0
140032,"REGISTRO ESFERA DN 50 2""",2.0,3.0
140034,"REGISTRO PLÁSTICO 25 X 3/4""",1.0,4.0
150004,CHAVE REGULADORA DE VASÃO TORNEIRA,2.0,0.0
150011,ABRAÇADEIRA 1 1/2 X 2,2.0,0.0
150013,"TORNEIRA P/ LAVATÓRIO DE MESA 1/2""",1.0,0.0
150014,GATILHO DUCHA HIG. AÇO METAL INOX CROMADO,20.0,8.0
150015,TORNEIRA COM BICA ALTA,1.0,6.0
150016,"TORNEIRA JARDIM CROMADA 1/2""",3.0,0.0
150017,"TORNEIRA PAREDE ACIONAMENTO 1/2""",1.0,2.0
150018,"TORNEIRA JARDIM ESFERA 3/4""",3.0,0.0
150019,"BICO TORNEIRA FERRO 1/2""",2.0,6.0
150020,"ABRAÇADEIRA 1/2"" X 3/4""",11.0,14.0
150023,VEDANTE PARA TORNEIRA,1.0,0.0
150024,"ABRAÇADEIRA ROSCA S/FIM 1/2"" X 5/8"" 13-16",0.0,2.0
150026,DUCHA HIGIÊNICA BALLI CROMADA 1/4 VOLTA C34,0.0,7.0
150028,"TORNEIRA MESA ONEEL SLIM 1196 1/2""",0.0,1.0
160010,ADESIVO PVC 850 G BRANCO,2.0,7.0
160011,ADESIVO PVC 175 G BRANCO,5.0,2.0
160013,SOLUÇÃO PREPARADORA 175 G,3.0,0.0
160014,PASTA LUBRIFICADORA 1 KG,1.0,7.0
160015,PASTA LUBRIFICADORA 400 G,3.0,3.0
160016,FITA VEDA ROSCA,10.0,46.0
160017,SOLUÇÃO LIMPADORA 1L TIGRE,5.0,6.0
160018,ADESIVO AQUATHERM 1L VERMELHO TIGRE,8.0,5.0
170009,REFIL PURIFICADOR ACQUAFLOW,27.0,50.0
170010,REFIL CZ+7,6.0,5.0
170011,FILTRO C+3,27.0,72.0
170012,REFIL FILTRO PRÉ C+3,27.0,69.0
170013,CHAPA PERFURADA PARA FILTRO,6.0,0.0
190001,SUPORTE PARA DUCHA,7.0,6.0
190002,VOLANTE REGISTRO HYDRAMAX,13.0,10.0
